mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_charge,stability_discharge,mp_preliminary_score,final_decision_support_score,conservative_earth_abundant_candidate,cde_exact_formula_match,cde_total_doi_count,evidence_class
109,Na0-0.75WO3,Na3(WO3)4,WO3,transition_metal_oxide_like,2.076462611551727,80.70125394527919,167.57313652271353,0.108601232685251,0.010663485937499,0.022406434824603,0.4394399631017007,0.4584502649766998,False,True,202.0,Non-conservative + exact CDE evidence
82,Na0-1MoP2O7,NaMoP2O7,MoP2O7,phosphate_or_NASICON_like,3.185216206551719,91.51226848872884,291.4863606886113,0.028667360470238,0.003237321999998,0.0,0.6196102507950337,0.428140989457035,False,True,2.0,Non-conservative + exact CDE evidence
106,Na0-1Mo2(PO4)3,NaMo2(PO4)3,Mo2(PO4)3,phosphate_or_NASICON_like,3.008921911551742,53.626144306619445,161.35688063622294,0.016526202005504,0.0,0.007146244722207,0.5083301571230273,0.4176166179414204,False,True,4.0,Non-conservative + exact CDE evidence
56,Na0-2MnH4(SO5)2,Na2MnH4(SO5)2,MnH4(SO5)2,sulfate_like,4.239597669051729,162.89062405005873,690.5907100330106,0.133276296695113,0.018710770637256,0.006873235877209,0.9133733736189352,0.593692692852308,False,False,,Computational support only
57,Na0-3Cr2(PO4)3,Na3Cr2(PO4)3,Cr2(PO4)3,phosphate_or_NASICON_like,4.291304676551717,175.60325231964254,753.5670578969732,0.087594040190126,0.061561507205885,0.0,0.8943539101000735,0.5813300415650478,False,False,,Computational support only
58,Na0-3.5Cr2(PO4)3,Na7Cr4(PO4)6,Cr2(PO4)3,phosphate_or_NASICON_like,3.702667313694579,199.85318274074345,739.9898472719805,0.162168072105599,0.062883002352944,0.037110231944857,0.8647182479405472,0.5620668611613557,False,False,,Computational support only
61,Na1-3CrPCO7,Na3CrPCO7,CrPCO7,phosphate_or_NASICON_like,3.031012679051716,194.2518696590096,588.7798798659595,0.073593047086824,0.056423033579551,0.01195674263621,0.7917667984407316,0.5146484189864756,False,False,,Computational support only
64,Na1-3VSiCO7,Na3VSiCO7,VSiCO7,silicate_like,2.9326560578017262,197.067679986078,577.9317255081036,0.026909028376574,0.088130306363638,0.0,0.7581127482072721,0.4927732863347269,False,False,,Computational support only
73,Na1-3VPCO7,Na3VPCO7,VPCO7,phosphate_or_NASICON_like,2.440613730301724,194.99710311407105,475.9126072292628,0.063204372017703,0.036701005454538,0.012394549739576,0.710840528109923,0.46204634327145,False,False,,Computational support only
74,Na0-1V2P2O9,NaV2P2O9,V2P2O9,phosphate_or_NASICON_like,4.149546079051721,81.0165494051057,336.1819049222564,0.027417805124064,0.035604401346162,0.0,0.6935483563696131,0.4508064316402485,False,False,,Computational support only
76,Na0-1Cr(GeO3)2,NaCr(GeO3)2,Cr(GeO3)2,transition_metal_oxide_like,4.347084786551722,84.74447870869932,368.3914341388431,0.036350359127551,0.09468767537036,0.0,0.6843750272773147,0.4448437677302546,False,False,,Computational support only
77,Na1-2BiPCO7,Na2BiPCO7,BiPCO7,phosphate_or_NASICON_like,4.461097456551716,65.37900188552294,291.66209902339625,0.033568701024982,0.069386899545459,0.0,0.6649720621511652,0.4322318403982574,False,False,,Computational support only
79,Na0-3Mo4P5O24,Na3Mo4P5O24,Mo4P5O24,phosphate_or_NASICON_like,3.616627704885051,81.08689361220995,293.26110594098515,0.009389674813241,0.00705728628788,0.0,0.6474703876746694,0.4208557519885351,False,False,,Computational support only
80,Na1-2NdPCO7,Na2NdPCO7,NdPCO7,phosphate_or_NASICON_like,4.186945046551717,77.64003867269946,325.07457533474275,0.047037429772558,0.095124963181815,0.029830898576389,0.6447002256007166,0.4190551466404658,False,False,,Computational support only
81,Na2-3CrSiCO7,Na3CrSiCO7,CrSiCO7,silicate_like,3.459963181551732,98.15328343360096,339.60674682867085,0.015113261158202,0.041646913356476,0.002806922243594,0.6426360947962598,0.4177134616175689,False,False,,Computational support only
83,Na0-1V(SiO3)2,NaV(SiO3)2,V(SiO3)2,silicate_like,3.032066876551727,118.538871682491,359.4177864122965,0.051879685586197,0.067616735277782,0.0,0.6124088049970661,0.398065723248093,False,False,,Computational support only
84,Na0-1Mo2P3O13,NaMo2P3O13,Mo2P3O13,phosphate_or_NASICON_like,3.91118607405173,51.96268174858514,203.2357172254482,0.01029582987395,0.009237340555555,0.0,0.6088763234620451,0.3957696102503293,False,False,,Computational support only
85,Na1-3SiSbCO7,Na3SiSbCO7,SiSbCO7,silicate_like,2.374212109051729,156.3583157314863,371.22780656062827,0.057291828872825,0.059494251818184,0.031887851137819,0.6039194041066779,0.3925476126693406,False,False,,Computational support only
90,Na0-1Mo2P2O9,NaMo2P2O9,Mo2P2O9,phosphate_or_NASICON_like,3.610831509051724,63.68993265960454,229.9736156566825,0.026038391000006,0.030411525576893,0.0,0.586512246443819,0.3812329601884824,False,False,,Computational support only
93,Na4-6Bi2B4SO16,Na6Bi2B4SO16,Bi2B4SO16,sulfate_like,3.7826880740517232,60.418207670445774,228.5432336105756,0.016052765222992,0.068665403888894,0.017836379655176,0.5704535259902221,0.3707947918936444,False,False,,Computational support only
94,Na0-1V(GeO3)2,NaV(GeO3)2,V(GeO3)2,transition_metal_oxide_like,3.156789026551724,85.02801091922686,268.4154918193356,0.031406061982007,0.046880893703709,0.0,0.5682358190553919,0.3693532823860047,False,False,,Computational support only
95,Na2-6Bi2C4SO16,Na6Bi2C4SO16,Bi2C4SO16,sulfate_like,2.808920395301722,120.1863353633842,337.5938486387825,0.070359732921207,0.086579261699999,0.091845204371407,0.5666843886692899,0.3683448526350384,False,False,,Computational support only
96,Na2-3SiBiCO7,Na3SiBiCO7,SiBiCO7,silicate_like,3.485697316551711,62.322980903367565,217.23904729437183,0.029621441716033,0.034626122630215,0.0,0.5648798547743649,0.3671719056033372,False,False,,Computational support only
97,Na1-2VCSO7,Na2VCSO7,VCSO7,sulfate_like,2.888922099051729,105.93783238792088,306.0461451111027,0.010953070322631,0.08290958784091,0.052271071593372,0.5531339998751892,0.359537099918873,False,False,,Computational support only
98,Na4-6Cr2P(CO4)4,Na6Cr2P(CO4)4,Cr2P(CO4)4,phosphate_or_NASICON_like,2.998660504051716,92.9094338496565,278.6038497387706,0.021816126497108,0.063655591954731,0.043333944964079,0.5531018285059961,0.3595161885288975,False,False,,Computational support only
99,Na2-3BiBPO7,Na3BiBPO7,BiBPO7,phosphate_or_NASICON_like,3.637906706551721,62.079226354215486,225.83843389154288,0.018314198234093,0.075517408368057,0.020522083202662,0.5520082325379537,0.3588053511496699,False,False,,Computational support only
100,Na4-6V2P(CO4)4,Na6V2P(CO4)4,V2P(CO4)4,phosphate_or_NASICON_like,3.034058029051725,93.25034344511644,282.9269532414864,0.005278998121273,0.081031801959889,0.028826654727009,0.5454972664078285,0.3545732231650885,False,False,,Computational support only
101,Na2-3VBPO7,Na3VBPO7,VBPO7,phosphate_or_NASICON_like,2.967536531551719,97.92592715302656,290.59876621267875,0.030335772820358,0.085130277202384,0.013613313935437,0.5441416898828679,0.3536920984238642,False,False,,Computational support only
102,Na2-3SiBiBO7,Na3SiBiBO7,SiBiBO7,silicate_like,3.4957848715517232,62.49733154724774,218.4772261352209,0.008031644945139,0.085011077499999,0.026838610686826,0.528757545953125,0.3436924048695312,False,False,,Computational support only
103,Na1-2CrCSO7,Na2CrCSO7,CrCSO7,sulfate_like,2.496419471551721,105.49806345893565,263.3674198298861,0.092116369185271,0.045973252272724,0.053633645796243,0.5209632866134732,0.3386261362987576,False,False,,Computational support only
105,Na4-6V2C4SO16,Na6V2C4SO16,V2C4SO16,sulfate_like,2.300817919051727,93.07365510151392,214.14553344920347,0.023353186019034,0.0,0.0,0.5097765137826091,0.3313547339586959,False,False,,Computational support only
107,Na1-2CePCO7,Na2CePCO7,CePCO7,phosphate_or_NASICON_like,2.552144956551718,78.57925159556763,200.54564064923645,0.036822650451961,0.029361832784099,0.025715869711538,0.4902197041315709,0.3186428076855211,False,False,,Computational support only
108,Na4-6Cr2C4SO16,Na6Cr2C4SO16,Cr2C4SO16,sulfate_like,2.085979849051714,92.73403382297106,193.44132587599773,0.039852922375281,0.004407401219133,0.015969924653212,0.468968709499673,0.3048296611747875,False,False,,Computational support only
110,Na4-6Bi2P(CO4)4,Na6Bi2P(CO4)4,Bi2P(CO4)4,phosphate_or_NASICON_like,2.648505494051722,60.166773561902986,159.35203033806596,0.035200926799759,0.067074688155869,0.077907932852013,0.4267014090060634,0.2773559158539412,False,False,,Computational support only
111,Na4-6B4Sb2SO16,Na6B4Sb2SO16,B4Sb2SO16,sulfate_like,2.051491209051722,75.20499399728025,154.28238406220797,0.051113367705172,0.058214908564814,0.072689870129321,0.3880015304492197,0.2522009947919928,False,False,,Computational support only
